Id,MainId,QuestionId,Correct,StartTime,EndTime,Time
14,6,29,1,16:11:53,16:12:03,9
15,6,31,1,16:12:03,16:12:10,6
16,6,27,1,-00:00:01,16:11:53,20
17,6,33,1,16:12:10,16:12:16,6
18,6,35,1,16:12:16,16:12:34,17
19,6,37,1,16:12:34,16:12:58,22
20,6,39,1,16:12:58,16:13:13,14
21,6,47,1,16:14:32,16:14:42,10
22,6,41,1,16:13:13,16:13:51,37
23,6,49,1,16:14:42,16:14:54,11
24,6,43,1,16:13:51,16:14:01,10
25,6,45,0,16:14:01,16:14:32,30
26,6,51,1,16:14:54,16:15:01,6
27,7,3,1,16:21:18,16:21:24,5
28,7,5,1,16:21:24,16:21:27,3
29,7,7,1,16:21:27,16:21:34,6
30,7,1,1,-00:00:01,16:21:18,15
31,7,9,0,16:21:34,16:22:33,54
32,7,11,1,16:22:33,16:23:18,44
33,7,13,0,16:23:18,16:23:35,16
34,7,15,0,16:23:35,16:23:46,11
35,7,17,1,16:23:46,16:23:55,8
36,7,19,1,16:23:55,16:24:43,47
37,7,21,1,16:24:43,16:24:49,6
38,7,23,0,16:24:49,16:24:57,7
39,7,25,0,16:24:57,16:25:07,9
