Id,QuestionsId,PosX,PosY,ScreenWidth,ScreenHeight,RelativeX,RelativeY,RelativeTime
1,1,311,191,1268,624,0,0,00:00:01
2,2,832,213,1268,624,1,0,00:00:03
3,3,645,197,1268,624,1,0,00:00:03
4,4,1131,217,1268,624,1,0,00:00:12
5,5,731,400,1268,624,1,1,00:00:31
6,6,875,311,1268,624,1,0,00:00:11
7,7,426,525,1268,624,0,1,00:00:22
8,8,1239,446,1268,624,1,1,00:00:04
9,9,647,359,1268,624,1,1,00:00:09
10,10,672,418,1268,624,1,1,00:00:08
11,11,939,483,1268,624,1,1,00:00:07
12,12,207,490,1268,624,0,1,00:00:06
13,13,608,346,1268,624,0,1,00:00:20
14,14,324,561,1440,781,0,1,00:00:08
15,15,355,289,1440,781,0,0,00:00:06
16,16,863,506,1440,781,1,1,00:00:22
17,17,439,426,1440,781,0,1,00:00:12
18,18,755,535,1440,781,1,1,00:00:02
19,19,635,299,1440,781,0,0,00:00:20
20,20,1084,417,1440,781,1,1,00:00:32
21,21,429,507,1440,781,0,1,00:00:09
22,22,614,459,1440,781,0,1,00:00:52
23,23,793,578,1440,781,1,1,00:00:04
24,24,824,236,1440,781,1,0,00:00:12
25,25,534,580,1440,781,0,1,00:00:03
26,26,329,508,1440,781,0,1,00:00:06
27,27,312,162,1536,734,0,0,00:00:03
28,28,629,159,1536,734,0,0,00:00:03
29,29,835,180,1536,734,1,0,00:00:04
30,30,1144,188,1536,734,1,0,00:00:06
31,31,813,365,1536,734,1,0,00:00:25
32,32,873,565,1536,734,1,1,00:00:18
33,33,286,532,1536,734,0,1,00:00:26
34,34,1480,444,1536,734,1,1,00:00:04
35,35,658,574,1536,734,0,1,00:00:12
36,36,683,512,1536,734,0,1,00:00:03
37,37,1076,422,1536,734,1,1,00:00:15
38,38,212,348,1536,734,0,0,00:00:04
39,39,825,383,1536,734,1,1,00:00:48
40,40,1098,627,1440,718,1,1,00:00:00
41,41,564,619,1440,718,0,1,00:00:13
42,42,352,255,1440,718,0,0,00:00:28
43,43,282,600,1440,718,0,1,00:00:06
44,44,632,334,1440,718,0,0,00:00:58
45,45,858,605,1440,718,1,1,00:00:00
46,46,580,388,1440,718,0,1,00:00:07
47,47,458,499,1440,718,0,1,00:00:24
48,48,1135,353,1440,718,1,0,00:00:12
49,49,860,330,1440,718,1,0,00:00:28
50,50,1161,592,1440,718,1,1,00:00:27
51,51,824,584,1440,718,1,1,00:00:05
52,52,623,163,1440,718,0,0,00:00:20
53,53,341,156,1680,919,0,0,00:00:05
54,54,832,179,1680,919,0,0,00:00:08
55,55,664,154,1680,919,0,0,00:00:02
56,56,1165,193,1680,919,1,0,00:00:04
57,57,854,606,1680,919,1,1,00:00:31
58,58,175,181,1680,919,0,0,00:00:11
59,58,209,194,1680,919,0,0,00:00:14
60,58,821,179,1680,919,0,0,00:00:22
61,59,480,420,1680,919,0,0,00:00:11
62,60,719,479,1680,919,0,1,00:00:05
63,61,1613,501,1680,919,1,1,00:01:15
64,62,724,416,1680,919,0,0,00:00:28
65,63,975,631,1680,919,1,1,00:00:07
66,64,448,819,1680,919,0,1,00:00:07
67,65,725,571,1680,919,0,1,00:00:06
68,66,572,256,1280,699,0,0,00:00:03
69,67,1054,416,1280,699,1,1,00:00:17
70,68,797,218,1280,699,1,0,00:00:25
71,68,794,193,1280,699,1,0,00:00:26
72,68,822,186,1280,699,1,0,00:00:30
73,68,823,227,1280,699,1,0,00:00:31
74,68,795,230,1280,699,1,0,00:00:33
75,69,445,542,1280,699,0,1,00:00:20
76,70,1040,379,1280,699,1,1,00:00:11
77,72,791,189,1280,699,1,0,00:00:00
78,72,817,172,1280,699,1,0,00:00:00
79,73,950,496,1280,699,1,1,00:00:50
80,74,275,242,1280,699,0,0,00:09:21
81,74,275,242,1280,699,0,0,00:09:23
82,75,558,432,1280,699,0,1,00:00:34
83,76,284,517,1280,699,0,1,00:00:05
84,77,777,573,1280,699,1,1,00:00:05
85,78,1022,565,1280,699,1,1,00:00:56
86,79,310,156,1366,637,0,0,00:00:04
87,80,826,189,1366,637,1,0,00:00:06
88,81,613,159,1366,637,0,0,00:00:02
89,82,1150,189,1366,637,1,0,00:00:04
90,83,767,307,1366,637,1,0,00:00:20
91,84,812,534,1366,637,1,1,00:00:45
92,85,433,191,1366,637,0,0,00:00:39
93,86,629,403,1366,637,0,1,00:00:24
94,87,1331,421,1366,637,1,1,00:00:05
95,88,645,453,1366,637,0,1,00:00:10
96,89,943,354,1366,637,1,1,00:00:08
97,90,207,496,1366,637,0,1,00:00:05
98,92,706,495,1440,723,0,1,00:00:01
99,103,781,443,1440,723,1,1,00:00:02
100,105,837,657,1440,723,1,1,00:00:01
101,106,1123,670,1440,723,1,1,00:00:00
102,118,666,193,1920,974,0,0,00:00:17
103,119,407,214,1920,974,0,0,00:00:03
104,120,391,731,1920,974,0,1,00:00:40
105,121,908,196,1920,974,0,0,00:00:14
106,122,332,218,1920,974,0,0,00:00:03
107,123,688,424,1920,974,0,0,00:00:11
108,124,619,298,1920,974,0,0,00:00:14
109,125,668,453,1920,974,0,0,00:00:07
110,126,1195,484,1920,974,1,0,00:00:12
111,127,934,361,1920,974,0,0,00:00:00
112,128,896,534,1920,974,0,1,00:00:50
113,129,635,414,1920,974,0,0,00:00:10
114,130,358,702,1920,974,0,1,00:00:02
115,131,92,472,574,278,0,2,00:00:12
116,132,90,349,574,278,0,1,00:00:00
117,132,88,352,574,278,0,1,00:00:00
118,133,89,262,574,278,0,1,00:00:05
119,132,87,355,574,278,0,1,00:00:00
120,134,89,220,574,278,0,1,00:00:05
121,135,134,2442,574,278,0,9,00:00:44
122,136,450,745,574,278,1,3,00:00:28
123,137,1093,3740,574,278,2,13,00:00:13
124,138,150,2238,574,278,0,8,00:00:06
125,139,504,4616,574,278,1,17,00:00:09
126,140,801,1510,574,278,1,5,00:00:40
127,141,232,4884,574,278,0,18,00:00:04
128,142,522,4348,574,278,1,16,00:00:10
129,143,789,495,574,278,1,2,00:00:12
130,144,90,349,574,278,0,1,00:00:00
131,144,88,352,574,278,0,1,00:00:00
132,144,87,355,574,278,0,1,00:00:00
133,145,89,262,574,278,0,1,00:00:05
134,146,89,220,574,278,0,1,00:00:05
135,147,134,2442,574,278,0,9,00:00:44
136,148,92,472,574,278,0,2,00:00:12
137,149,450,745,574,278,1,3,00:00:28
138,150,150,2238,574,278,0,8,00:00:06
139,151,1093,3740,574,278,2,13,00:00:13
140,152,504,4616,574,278,1,17,00:00:09
141,153,801,1510,574,278,1,5,00:00:40
142,154,789,495,574,278,1,2,00:00:12
143,155,522,4348,574,278,1,16,00:00:10
144,156,232,4884,574,278,0,18,00:00:04
145,157,886,184,1440,839,1,0,00:00:04
146,158,546,468,1440,839,0,1,00:01:15
147,159,260,420,1440,839,0,1,00:00:16
148,160,625,186,1440,839,0,0,00:00:02
149,161,402,215,1440,839,0,0,00:00:03
150,162,313,218,1440,839,0,0,00:00:03
151,163,560,557,1440,839,0,1,00:00:20
152,164,1092,674,1440,839,1,1,00:00:15
153,165,566,543,1440,839,0,1,00:00:07
154,166,508,675,1440,839,0,1,00:00:21
155,167,826,618,1440,839,1,1,00:00:24
156,168,803,293,1440,839,1,0,00:00:26
157,169,324,583,1440,839,0,1,00:00:02
158,170,366,161,1207,635,0,0,00:00:05
159,171,860,185,1207,635,1,0,00:00:05
160,172,680,165,1207,635,1,0,00:00:03
161,173,1177,184,1207,635,1,0,00:00:06
162,175,540,192,1207,635,0,0,00:00:00
163,170,361,160,1207,635,0,0,00:00:09
164,175,732,297,1207,635,1,0,00:01:47
165,170,369,172,1207,635,0,0,00:00:11
166,176,564,430,1207,635,0,1,00:00:11
167,177,1201,417,1207,635,1,1,00:00:08
168,178,104,348,1207,635,0,1,00:00:08
169,179,610,370,1207,635,1,1,00:00:11
