Id,MainId,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Sum
1,2,3,3,3,3,4,4,3,3,2,2,4,34
2,3,5,3,2,4,2,2,4,2,5,3,4,36
3,4,4,3,1,2,4,3,4,2,4,3,5,35
4,5,4,4,4,3,3,4,3,3,4,2,2,36
5,6,1,1,1,1,4,4,2,1,5,5,5,30
6,7,3,4,3,4,2,4,3,4,2,2,2,33
7,12,1,1,1,1,5,3,1,1,5,1,2,22
8,15,3,3,3,3,3,3,3,3,3,3,3,33
9,17,3,4,3,3,3,3,3,3,3,3,1,32
10,18,4,4,3,4,1,2,4,4,2,1,1,30
11,20,4,5,3,5,2,2,5,5,2,2,1,36
12,19,1,1,1,1,5,5,3,2,4,2,5,30
13,22,2,3,3,2,3,3,3,3,3,2,3,30
14,23,2,2,1,1,4,2,1,2,3,1,5,24
15,24,3,3,3,3,2,2,4,4,2,2,2,30
16,26,2,2,1,1,2,5,1,1,5,5,2,27
17,29,2,2,1,2,4,4,3,3,4,1,4,30
18,31,1,2,1,2,4,3,2,1,5,1,5,27
19,34,1,3,2,2,2,2,2,1,4,1,4,24
20,33,2,3,2,2,5,5,2,2,4,5,5,37
21,37,3,4,2,3,3,4,2,3,3,3,4,34
22,36,3,4,2,4,2,2,4,3,2,5,4,35
23,39,1,1,1,1,3,2,1,1,5,5,5,26
24,40,2,4,1,4,4,4,2,2,3,2,2,30
25,42,2,3,1,2,4,2,2,2,2,3,4,27
26,44,2,3,1,2,2,2,4,2,4,3,4,29
27,43,1,2,1,1,4,3,1,1,5,3,5,27
28,45,2,2,1,1,1,4,1,1,3,3,3,22
29,46,2,3,1,1,5,3,4,4,1,3,1,28
30,47,1,1,1,1,4,5,1,1,5,3,5,28
31,50,3,3,2,3,1,4,2,3,3,1,4,29
32,48,1,3,1,1,4,3,2,1,5,4,4,29
33,30,1,4,1,1,3,4,2,1,4,5,3,29
34,51,1,1,1,1,5,5,1,1,5,5,5,31
35,52,4,4,2,3,2,2,3,3,3,3,3,32
36,54,2,2,2,3,4,4,3,2,3,4,1,30
37,56,2,2,1,3,2,2,3,3,3,1,5,27
38,57,2,4,2,2,2,2,3,2,4,1,4,28
39,59,1,3,2,3,3,4,4,2,3,4,4,33
40,60,1,1,1,1,5,5,1,1,5,1,5,27
41,61,4,4,2,2,1,1,1,1,4,1,3,24
42,64,1,2,1,1,5,4,2,1,4,5,4,30
43,65,1,2,2,2,3,2,2,2,3,3,3,25
44,66,2,3,1,1,2,3,3,1,5,1,4,26
45,67,3,3,3,4,2,2,3,4,1,4,1,30
46,70,1,1,1,1,4,5,1,1,5,1,5,26
47,72,2,1,2,2,4,2,3,5,2,2,4,29
48,73,2,5,3,4,1,2,4,4,2,2,3,32
49,74,2,2,1,2,4,3,1,1,4,1,4,25
50,77,3,4,3,5,1,2,4,5,1,2,1,31
51,78,1,3,1,1,4,4,1,1,5,2,5,28
52,79,1,4,1,3,2,4,1,2,5,3,5,31
53,80,1,1,1,1,5,5,5,2,5,1,5,32
54,81,1,3,2,2,2,2,2,1,3,1,4,23
55,82,1,2,2,1,4,5,1,1,5,1,4,27
