Id,MainId,QuestionId,Correct,StartTime,EndTime,Time,Id,Site,Language,Gender,Age
14,3,31,0,15:47:57,15:48:08,10,3,bbc,en,0,26
15,3,27,0,-00:00:01,15:47:31,10,3,bbc,en,0,26
16,3,29,0,15:47:31,15:47:57,24,3,bbc,en,0,26
17,3,35,0,15:48:11,15:48:26,14,3,bbc,en,0,26
18,3,33,0,15:48:08,15:48:11,3,3,bbc,en,0,26
19,3,37,1,15:48:26,15:48:50,23,3,bbc,en,0,26
20,3,41,1,15:49:03,15:49:39,33,3,bbc,en,0,26
21,3,39,1,15:48:50,15:49:03,12,3,bbc,en,0,26
22,3,43,1,15:49:39,15:50:34,53,3,bbc,en,0,26
23,3,47,1,15:50:49,15:50:55,5,3,bbc,en,0,26
24,3,45,1,15:50:34,15:50:49,14,3,bbc,en,0,26
25,3,49,0,15:50:55,15:50:59,4,3,bbc,en,0,26
26,3,51,1,15:50:59,15:51:08,8,3,bbc,en,0,26
40,5,33,0,22:00:08,22:00:10,2,5,bbc,en,0,56
41,5,29,0,21:59:42,22:00:00,16,5,bbc,en,0,56
42,5,27,0,-00:00:01,21:59:42,30,5,bbc,en,0,56
43,5,31,0,22:00:00,22:00:08,8,5,bbc,en,0,56
44,5,37,1,22:00:13,22:01:21,62,5,bbc,en,0,56
45,5,35,0,22:00:10,22:00:13,2,5,bbc,en,0,56
46,5,43,1,22:02:06,22:02:14,8,5,bbc,en,0,56
47,5,39,1,22:01:21,22:01:50,27,5,bbc,en,0,56
48,5,41,1,22:01:50,22:02:06,15,5,bbc,en,0,56
49,5,45,1,22:02:14,22:02:47,30,5,bbc,en,0,56
50,5,49,0,22:02:53,22:03:26,30,5,bbc,en,0,56
51,5,47,1,22:02:47,22:02:53,6,5,bbc,en,0,56
52,5,51,0,22:03:26,22:03:58,24,5,bbc,en,0,56
66,7,43,1,22:29:31,22:29:35,4,7,bbc,en,1,26
67,7,41,1,22:29:11,22:29:31,19,7,bbc,en,1,26
68,7,27,0,-00:00:01,22:07:35,33,7,bbc,en,1,26
69,7,39,1,22:28:48,22:29:11,21,7,bbc,en,1,26
70,7,29,0,22:07:35,22:07:51,13,7,bbc,en,1,26
71,7,31,0,22:07:51,22:10:52,175,7,bbc,en,1,26
72,7,33,0,22:10:52,22:12:14,81,7,bbc,en,1,26
73,7,37,1,22:27:56,22:28:48,51,7,bbc,en,1,26
74,7,35,1,22:12:14,22:27:56,925,7,bbc,en,1,26
75,7,49,1,22:30:44,22:31:21,35,7,bbc,en,1,26
76,7,51,1,22:31:21,22:31:28,7,7,bbc,en,1,26
77,7,47,1,22:30:37,22:30:44,7,7,bbc,en,1,26
78,7,45,0,22:29:35,22:30:37,58,7,bbc,en,1,26
118,17,27,1,-00:00:01,01:23:54,21,17,bbc,en,0,26
119,17,31,1,01:24:11,01:24:17,5,17,bbc,en,0,26
120,17,35,1,01:24:22,01:25:05,41,17,bbc,en,0,26
121,17,29,1,01:23:54,01:24:11,16,17,bbc,en,0,26
122,17,33,1,01:24:17,01:24:22,4,17,bbc,en,0,26
123,17,37,1,01:25:05,01:25:18,12,17,bbc,en,0,26
