Id,MainId,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Sum,Id,Site,Language,Gender,Age
1,2,3,3,3,3,4,4,3,3,2,2,4,34,2,qq,en,0,26
2,3,5,3,2,4,2,2,4,2,5,3,4,36,3,bbc,en,0,26
3,4,4,3,1,2,4,3,4,2,4,3,5,35,4,qq,en,0,20
4,5,4,4,4,3,3,4,3,3,4,2,2,36,5,bbc,en,0,56
5,6,1,1,1,1,4,4,2,1,5,5,5,30,6,qq,en,0,26
6,7,3,4,3,4,2,4,3,4,2,2,2,33,7,bbc,en,1,26
7,12,1,1,1,1,5,3,1,1,5,1,2,22,12,qq,en,1,20
9,17,3,4,3,3,3,3,3,3,3,3,1,32,17,bbc,en,0,26
10,18,4,4,3,4,1,2,4,4,2,1,1,30,18,bbc,zh,1,26
11,20,4,5,3,5,2,2,5,5,2,2,1,36,20,bbc,en,0,26
12,19,1,1,1,1,5,5,3,2,4,2,5,30,19,qq,en,1,20
13,22,2,3,3,2,3,3,3,3,3,2,3,30,22,bbc,en,0,46
14,23,2,2,1,1,4,2,1,2,3,1,5,24,23,qq,en,0,26
15,24,3,3,3,3,2,2,4,4,2,2,2,30,24,bbc,en,0,46
16,26,2,2,1,1,2,5,1,1,5,5,2,27,26,bbc,en,0,20
17,29,2,2,1,2,4,4,3,3,4,1,4,30,29,qq,en,0,20
18,31,1,2,1,2,4,3,2,1,5,1,5,27,31,qq,en,0,26
19,34,1,3,2,2,2,2,2,1,4,1,4,24,34,bbc,en,1,20
20,33,2,3,2,2,5,5,2,2,4,5,5,37,33,qq,en,0,26
21,37,3,4,2,3,3,4,2,3,3,3,4,34,37,qq,en,0,26
22,36,3,4,2,4,2,2,4,3,2,5,4,35,36,bbc,en,0,26
23,39,1,1,1,1,3,2,1,1,5,5,5,26,39,qq,en,0,26
24,40,2,4,1,4,4,4,2,2,3,2,2,30,40,bbc,en,1,20
25,42,2,3,1,2,4,2,2,2,2,3,4,27,42,bbc,en,1,20
26,44,2,3,1,2,2,2,4,2,4,3,4,29,44,bbc,en,0,20
27,43,1,2,1,1,4,3,1,1,5,3,5,27,43,qq,en,0,20
28,45,2,2,1,1,1,4,1,1,3,3,3,22,45,qq,en,1,20
29,46,2,3,1,1,5,3,4,4,1,3,1,28,46,bbc,en,0,20
30,47,1,1,1,1,4,5,1,1,5,3,5,28,47,qq,en,1,20
31,50,3,3,2,3,1,4,2,3,3,1,4,29,50,bbc,en,0,26
32,48,1,3,1,1,4,3,2,1,5,4,4,29,48,bbc,en,1,26
33,30,1,4,1,1,3,4,2,1,4,5,3,29,30,bbc,en,0,20
34,51,1,1,1,1,5,5,1,1,5,5,5,31,51,qq,en,0,26
35,52,4,4,2,3,2,2,3,3,3,3,3,32,52,qq,zh,0,26
36,54,2,2,2,3,4,4,3,2,3,4,1,30,54,qq,en,0,20
37,56,2,2,1,3,2,2,3,3,3,1,5,27,56,qq,en,0,20
38,57,2,4,2,2,2,2,3,2,4,1,4,28,57,bbc,en,0,20
39,59,1,3,2,3,3,4,4,2,3,4,4,33,59,bbc,en,0,26
40,60,1,1,1,1,5,5,1,1,5,1,5,27,60,qq,en,0,20
41,61,4,4,2,2,1,1,1,1,4,1,3,24,61,bbc,en,0,20
42,64,1,2,1,1,5,4,2,1,4,5,4,30,64,qq,en,0,26
43,65,1,2,2,2,3,2,2,2,3,3,3,25,65,bbc,en,0,20
44,66,2,3,1,1,2,3,3,1,5,1,4,26,66,qq,en,1,26
45,67,3,3,3,4,2,2,3,4,1,4,1,30,67,bbc,en,0,36
46,70,1,1,1,1,4,5,1,1,5,1,5,26,70,qq,en,0,20
47,72,2,1,2,2,4,2,3,5,2,2,4,29,72,qq,en,0,26
48,73,2,5,3,4,1,2,4,4,2,2,3,32,73,bbc,en,0,20
49,74,2,2,1,2,4,3,1,1,4,1,4,25,74,qq,en,0,20
50,77,3,4,3,5,1,2,4,5,1,2,1,31,77,bbc,en,0,26
51,78,1,3,1,1,4,4,1,1,5,2,5,28,78,qq,en,0,26
52,79,1,4,1,3,2,4,1,2,5,3,5,31,79,bbc,en,0,20
53,80,1,1,1,1,5,5,5,2,5,1,5,32,80,qq,en,1,26
54,81,1,3,2,2,2,2,2,1,3,1,4,23,81,bbc,en,0,26
55,82,1,2,2,1,4,5,1,1,5,1,4,27,82,qq,en,0,20
56,87,2,3,1,2,2,5,1,1,3,3,2,25,87,bbc,en,1,26
57,88,1,2,1,1,2,5,1,1,5,1,5,25,88,qq,en,0,20
58,89,2,3,1,2,4,5,2,1,4,2,2,28,89,bbc,en,0,20
59,90,3,5,2,2,2,3,3,3,4,2,4,33,90,bbc,zh,1,20
61,96,2,3,2,2,2,4,2,2,4,2,3,28,96,qq,zh,0,26
62,97,2,4,2,2,2,3,2,1,4,2,2,26,97,bbc,zh,0,26
63,101,2,2,2,2,2,4,2,2,5,3,5,31,101,bbc,zh,1,26
64,130,1,1,1,1,2,1,3,1,1,1,4,17,130,qq,en,0,20
65,132,3,4,1,3,1,2,3,3,2,4,1,27,132,bbc,en,0,20
66,142,3,4,3,4,2,3,4,4,2,4,1,34,142,qq,en,0,56
67,146,2,5,3,2,2,2,3,2,4,2,5,32,146,qq,zh,1,20
68,148,1,3,2,2,4,3,3,2,2,1,4,27,148,qq,en,0,26
70,150,3,4,2,4,2,4,2,3,3,4,3,34,150,qq,zh,1,26
71,151,2,2,2,2,3,3,3,3,3,4,4,31,151,bbc,zh,1,26
72,159,4,2,3,4,2,2,4,3,2,4,3,33,159,bbc,zh,0,20
73,156,3,5,3,3,2,3,2,1,4,2,2,30,156,qq,zh,0,20
74,161,2,2,1,1,4,3,1,2,5,2,2,25,161,bbc,zh,1,20
75,168,2,5,2,2,2,2,5,5,3,2,1,31,168,qq,zh,0,20
76,167,3,4,3,3,2,3,4,4,2,4,3,35,167,bbc,zh,1,20
77,164,2,3,2,3,2,3,3,3,3,2,2,28,164,qq,zh,1,20
78,179,2,4,1,1,4,4,2,2,4,4,2,30,179,qq,zh,1,20
79,181,2,3,2,2,3,4,2,2,2,2,2,26,181,qq,zh,1,20
80,182,3,3,3,3,2,2,4,4,2,2,3,31,182,bbc,zh,1,20
81,183,3,4,2,2,5,5,2,2,5,2,4,36,183,qq,zh,1,20
82,184,3,3,2,2,3,3,2,2,5,3,4,32,184,bbc,zh,1,20
83,192,3,2,2,3,2,3,3,4,3,4,4,33,192,bbc,zh,1,20
84,193,1,2,1,1,3,3,1,1,5,2,5,25,193,qq,zh,1,20
85,204,3,5,2,4,2,4,3,5,1,2,1,32,204,bbc,zh,0,20
86,242,4,4,3,5,3,3,4,4,2,2,1,35,242,bbc,zh,0,20
87,240,3,4,3,4,4,2,4,3,3,2,2,34,240,bbc,zh,1,20
88,253,1,4,2,2,3,5,2,1,1,2,3,26,253,qq,zh,1,20
89,251,2,5,1,1,2,4,2,2,4,2,4,29,251,qq,zh,1,20
90,254,4,2,2,4,2,2,2,4,2,4,2,30,254,bbc,zh,0,20
91,252,4,4,2,4,2,2,4,2,2,4,2,32,252,bbc,zh,0,20
