Id,MainId,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Sum,Id,Site,Language,Gender,Age
2,3,5,3,2,4,2,2,4,2,5,3,4,36,3,bbc,en,0,26
4,5,4,4,4,3,3,4,3,3,4,2,2,36,5,bbc,en,0,56
6,7,3,4,3,4,2,4,3,4,2,2,2,33,7,bbc,en,1,26
9,17,3,4,3,3,3,3,3,3,3,3,1,32,17,bbc,en,0,26
11,20,4,5,3,5,2,2,5,5,2,2,1,36,20,bbc,en,0,26
13,22,2,3,3,2,3,3,3,3,3,2,3,30,22,bbc,en,0,46
15,24,3,3,3,3,2,2,4,4,2,2,2,30,24,bbc,en,0,46
16,26,2,2,1,1,2,5,1,1,5,5,2,27,26,bbc,en,0,20
19,34,1,3,2,2,2,2,2,1,4,1,4,24,34,bbc,en,1,20
22,36,3,4,2,4,2,2,4,3,2,5,4,35,36,bbc,en,0,26
24,40,2,4,1,4,4,4,2,2,3,2,2,30,40,bbc,en,1,20
25,42,2,3,1,2,4,2,2,2,2,3,4,27,42,bbc,en,1,20
26,44,2,3,1,2,2,2,4,2,4,3,4,29,44,bbc,en,0,20
29,46,2,3,1,1,5,3,4,4,1,3,1,28,46,bbc,en,0,20
31,50,3,3,2,3,1,4,2,3,3,1,4,29,50,bbc,en,0,26
32,48,1,3,1,1,4,3,2,1,5,4,4,29,48,bbc,en,1,26
33,30,1,4,1,1,3,4,2,1,4,5,3,29,30,bbc,en,0,20
38,57,2,4,2,2,2,2,3,2,4,1,4,28,57,bbc,en,0,20
39,59,1,3,2,3,3,4,4,2,3,4,4,33,59,bbc,en,0,26
41,61,4,4,2,2,1,1,1,1,4,1,3,24,61,bbc,en,0,20
43,65,1,2,2,2,3,2,2,2,3,3,3,25,65,bbc,en,0,20
45,67,3,3,3,4,2,2,3,4,1,4,1,30,67,bbc,en,0,36
48,73,2,5,3,4,1,2,4,4,2,2,3,32,73,bbc,en,0,20
50,77,3,4,3,5,1,2,4,5,1,2,1,31,77,bbc,en,0,26
52,79,1,4,1,3,2,4,1,2,5,3,5,31,79,bbc,en,0,20
54,81,1,3,2,2,2,2,2,1,3,1,4,23,81,bbc,en,0,26
56,87,2,3,1,2,2,5,1,1,3,3,2,25,87,bbc,en,1,26
58,89,2,3,1,2,4,5,2,1,4,2,2,28,89,bbc,en,0,20
65,132,3,4,1,3,1,2,3,3,2,4,1,27,132,bbc,en,0,20
