Id,MainId,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Sum,Id,Site,Language,Gender,Age
1,2,3,3,3,3,4,4,3,3,2,2,4,34,2,qq,en,0,26
3,4,4,3,1,2,4,3,4,2,4,3,5,35,4,qq,en,0,20
5,6,1,1,1,1,4,4,2,1,5,5,5,30,6,qq,en,0,26
7,12,1,1,1,1,5,3,1,1,5,1,2,22,12,qq,en,1,20
12,19,1,1,1,1,5,5,3,2,4,2,5,30,19,qq,en,1,20
14,23,2,2,1,1,4,2,1,2,3,1,5,24,23,qq,en,0,26
17,29,2,2,1,2,4,4,3,3,4,1,4,30,29,qq,en,0,20
18,31,1,2,1,2,4,3,2,1,5,1,5,27,31,qq,en,0,26
20,33,2,3,2,2,5,5,2,2,4,5,5,37,33,qq,en,0,26
21,37,3,4,2,3,3,4,2,3,3,3,4,34,37,qq,en,0,26
23,39,1,1,1,1,3,2,1,1,5,5,5,26,39,qq,en,0,26
27,43,1,2,1,1,4,3,1,1,5,3,5,27,43,qq,en,0,20
28,45,2,2,1,1,1,4,1,1,3,3,3,22,45,qq,en,1,20
30,47,1,1,1,1,4,5,1,1,5,3,5,28,47,qq,en,1,20
34,51,1,1,1,1,5,5,1,1,5,5,5,31,51,qq,en,0,26
36,54,2,2,2,3,4,4,3,2,3,4,1,30,54,qq,en,0,20
37,56,2,2,1,3,2,2,3,3,3,1,5,27,56,qq,en,0,20
40,60,1,1,1,1,5,5,1,1,5,1,5,27,60,qq,en,0,20
42,64,1,2,1,1,5,4,2,1,4,5,4,30,64,qq,en,0,26
44,66,2,3,1,1,2,3,3,1,5,1,4,26,66,qq,en,1,26
46,70,1,1,1,1,4,5,1,1,5,1,5,26,70,qq,en,0,20
47,72,2,1,2,2,4,2,3,5,2,2,4,29,72,qq,en,0,26
49,74,2,2,1,2,4,3,1,1,4,1,4,25,74,qq,en,0,20
51,78,1,3,1,1,4,4,1,1,5,2,5,28,78,qq,en,0,26
53,80,1,1,1,1,5,5,5,2,5,1,5,32,80,qq,en,1,26
55,82,1,2,2,1,4,5,1,1,5,1,4,27,82,qq,en,0,20
57,88,1,2,1,1,2,5,1,1,5,1,5,25,88,qq,en,0,20
64,130,1,1,1,1,2,1,3,1,1,1,4,17,130,qq,en,0,20
66,142,3,4,3,4,2,3,4,4,2,4,1,34,142,qq,en,0,56
68,148,1,3,2,2,4,3,3,2,2,1,4,27,148,qq,en,0,26
