Id,MainId,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Sum,Id,Site,Language,Gender,Age
35,52,4,4,2,3,2,2,3,3,3,3,3,32,52,qq,zh,0,26
61,96,2,3,2,2,2,4,2,2,4,2,3,28,96,qq,zh,0,26
67,146,2,5,3,2,2,2,3,2,4,2,5,32,146,qq,zh,1,20
70,150,3,4,2,4,2,4,2,3,3,4,3,34,150,qq,zh,1,26
73,156,3,5,3,3,2,3,2,1,4,2,2,30,156,qq,zh,0,20
75,168,2,5,2,2,2,2,5,5,3,2,1,31,168,qq,zh,0,20
77,164,2,3,2,3,2,3,3,3,3,2,2,28,164,qq,zh,1,20
78,179,2,4,1,1,4,4,2,2,4,4,2,30,179,qq,zh,1,20
79,181,2,3,2,2,3,4,2,2,2,2,2,26,181,qq,zh,1,20
81,183,3,4,2,2,5,5,2,2,5,2,4,36,183,qq,zh,1,20
84,193,1,2,1,1,3,3,1,1,5,2,5,25,193,qq,zh,1,20
88,253,1,4,2,2,3,5,2,1,1,2,3,26,253,qq,zh,1,20
89,251,2,5,1,1,2,4,2,2,4,2,4,29,251,qq,zh,1,20
94,265,3,4,1,3,2,2,2,3,4,2,2,28,265,qq,zh,1,20
96,269,4,5,4,5,4,2,4,4,2,3,1,38,269,qq,zh,1,26
97,271,4,3,4,3,3,2,3,2,3,1,3,31,271,qq,zh,1,20
